symbol,data_bars,sharpe_gross,sharpe_net,return_gross,return_net,win_gross,win_net,dd_net,n_trades,turnover_pct,hold_h,tf_label
BARD,156,2.9027123653230746,2.8521659384004483,1.5151235091563025,1.486723509156302,55.12820512820513,55.12820512820513,-0.2219763312005094,36,23.076923076923077,24,1d
BARD,3717,1.4320023364500334,0.5421698575887041,0.8054582210969732,0.3050582210969737,50.712940543449015,50.22867904223837,-0.7563941425896694,626,16.84153887543718,1,1h
BARD,930,2.8974798803845077,2.5714092967544753,1.4007484848998188,1.2427484848998194,49.46236559139785,49.13978494623656,-0.3662191481084124,198,21.29032258064516,4,4h
ERA,219,2.041326863268099,1.9340966580362373,1.1917605258517556,1.1289605258517563,54.337899543378995,54.337899543378995,-0.4563468998792355,79,36.07305936073059,24,1d
ERA,5225,-0.37687101124752154,-2.224081244791958,-0.23886703401954423,-1.4096670340195507,49.358851674641144,48.3444976076555,-2.077591366402703,1464,28.019138755980862,1,1h
ERA,1307,-1.3275696818905303,-1.8050053697291581,-0.8614980625890573,-1.171498062589049,50.19127773527161,49.73221117061974,-1.9201253829185334,388,29.686304514154553,4,4h
KMNO,291,3.4384062067908623,3.3080769600192426,2.8825706319326203,2.7717706319326236,56.70103092783505,56.70103092783505,-0.3044461002330529,139,47.766323024054984,24,1d
KMNO,6953,4.118581748003607,2.3155111286181,3.4941913893992074,1.9665913893992197,51.87688767438515,50.89889256436071,-1.0842936176101934,1910,27.470156766863223,1,1h
KMNO,1739,3.4261575134932967,2.8656438371568407,2.824920850527317,2.3645208505273305,55.0316273720529,54.22656699252444,-0.8241528859946808,576,33.12248418631397,4,4h
MORPHO,141,3.2863821345173694,3.1560408445664776,1.217908841343211,1.1695088413432115,58.86524822695035,57.446808510638306,-0.31228356680905756,61,43.262411347517734,24,1d
MORPHO,3353,3.298080371411562,0.5237162520169615,1.1954177843925127,0.19021778439250397,52.63942737846704,50.879809126155685,-0.5997307134130081,1257,37.48881598568446,1,1h
MORPHO,839,2.5164892057187385,1.740143055587717,0.9207444234421892,0.6371444234421818,51.96662693682956,51.13230035756854,-0.4450878080428179,355,42.31227651966627,4,4h
NEWT,242,1.9986482634484666,1.8825715934221816,1.4173307199342586,1.3337307199342583,55.371900826446286,55.371900826446286,-0.5773902165650029,105,43.388429752066116,24,1d
NEWT,5778,2.3293564069560277,0.3627323624517696,1.7079328176331685,0.2659328176331248,49.32502596053998,48.701973001038425,-0.8218479566819048,1803,31.204569055036345,1,1h
NEWT,1445,-0.12310386283470895,-0.6471037577630364,-0.09175216874151426,-0.48255216874151796,49.48096885813148,49.20415224913495,-1.16049649655488,489,33.84083044982699,4,4h
NIL,334,2.919533968702972,2.81298400313192,3.4812497815738213,3.3544497815738246,55.38922155688623,55.08982035928144,-0.629556678515576,159,47.604790419161674,24,1d
NIL,7987,0.6549212041373729,-1.212575673356794,0.8216016069530688,-1.5219983930468493,49.818454989357704,48.666583197696255,-2.2955112542728764,2930,36.68461249530487,1,1h
NIL,1997,1.2968486459167554,0.7739514074235502,1.5769951765288874,0.9413951765288967,49.82473710565849,49.42413620430646,-0.7255527263635083,795,39.80971457185778,4,4h
PUMP,163,2.4058887872304986,2.3234391542751434,1.5206342985424752,1.469034298542476,52.760736196319016,52.14723926380368,-0.41643963207045287,65,39.87730061349693,24,1d
PUMP,3884,2.2837061759720148,0.6940374248832697,1.4501336990664764,0.44093369906647106,50.25746652935118,49.845520082389285,-0.7020193383324475,1262,32.49227600411946,1,1h
PUMP,971,2.5268331457305155,2.0600011359651194,1.5764905675772027,1.2864905675772031,52.523171987641604,51.69927909371782,-0.7088654241066835,363,37.38414006179197,4,4h
SYRUP,290,2.998925684556521,2.8555862248750308,2.499726528255245,2.38012652825525,55.86206896551724,55.51724137931034,-0.43139020223035474,150,51.724137931034484,24,1d
SYRUP,6936,2.3775065506837176,0.09850164339443564,2.174573940856284,0.09017394085625074,51.4273356401384,50.21626297577855,-1.2407003500673683,2606,37.57208765859285,1,1h
SYRUP,1734,1.898620412651481,1.2465438472969226,1.69852767321994,1.1165276732199496,51.384083044982695,50.74971164936562,-0.9117666232164389,728,41.9838523644752,4,4h
TRUMP,398,2.9093204233568963,2.7756072539623955,3.5198386108750355,3.35783861087504,56.28140703517588,56.28140703517588,-0.43741317206880304,203,51.005025125628144,24,1d
TRUMP,9528,-0.5467477407440923,-3.084294474866842,-0.6194181743647322,-3.4950181743646658,49.706129303106636,47.449622166246854,-4.350590783133095,3595,37.73089840470193,1,1h
TRUMP,2382,-0.23214200793348705,-0.9610110325311756,-0.25661976855280855,-1.061819768552824,50.1679261125105,48.86649874055416,-1.5671364855054135,1007,42.27539882451721,4,4h
VELODROME,435,2.6712037745267074,2.5555059887259435,3.534584618788145,3.3813846187881493,54.71264367816092,54.48275862068965,-0.6075660073003497,192,44.13793103448276,24,1d
VELODROME,10408,2.3767362037855655,-0.4014057846928404,3.1223636807242,-0.5276363192758212,50.88393543428133,49.538816295157574,-1.7666991386270166,4563,43.8412759415834,1,1h
VELODROME,2602,-0.5859650239231389,-1.3046261334440674,-0.7786391511621064,-1.734239151162095,50.30745580322829,49.65411222136818,-2.656865115416948,1195,45.92621060722521,4,4h
